PdDistrict,Date,IncidntNum
PARK,06/04/2016,21
PARK,12/14/2016,23
INGLESIDE,03/12/2016,21
TARAVAL,07/19/2016,27
RICHMOND,02/21/2016,39
PARK,09/01/2016,34
TENDERLOIN,07/27/2016,44
INGLESIDE,07/28/2016,31
TARAVAL,03/17/2016,61
BAYVIEW,06/04/2016,38
RICHMOND,09/14/2016,33
INGLESIDE,01/15/2016,34
TARAVAL,06/05/2016,46
NORTHERN,06/18/2016,64
BAYVIEW,12/14/2016,49
MISSION,06/10/2016,53
NORTHERN,12/31/2016,53
BAYVIEW,09/01/2016,48
SOUTHERN,04/18/2016,52
TENDERLOIN,07/15/2016,29
TENDERLOIN,09/02/2016,33
INGLESIDE,09/29/2016,22
INGLESIDE,11/26/2016,39
INGLESIDE,02/10/2016,42
TENDERLOIN,04/22/2016,41
PARK,02/23/2016,23
SOUTHERN,02/29/2016,74
PARK,07/31/2016,19
RICHMOND,06/09/2016,49
SOUTHERN,03/09/2016,78
RICHMOND,06/12/2016,36
INGLESIDE,08/03/2016,31
PARK,07/11/2016,16
PARK,02/17/2016,23
PARK,08/09/2016,18
PARK,03/01/2016,52
INGLESIDE,04/07/2016,38
SOUTHERN,04/16/2016,79
BAYVIEW,07/11/2016,49
BAYVIEW,02/17/2016,53
RICHMOND,01/07/2016,31
BAYVIEW,08/09/2016,40
BAYVIEW,03/01/2016,40
TARAVAL,09/19/2016,31
BAYVIEW,02/23/2016,36
BAYVIEW,07/31/2016,46
MISSION,09/16/2016,45
SOUTHERN,04/30/2016,73
SOUTHERN,10/04/2016,79
RICHMOND,01/08/2016,31
INGLESIDE,09/17/2016,33
TENDERLOIN,01/26/2016,65
NORTHERN,09/05/2016,35
SOUTHERN,06/30/2016,74
TENDERLOIN,02/03/2016,34
RICHMOND,05/04/2016,30
PARK,11/05/2016,19
MISSION,05/18/2016,56
RICHMOND,09/22/2016,42
NORTHERN,05/31/2016,56
PARK,09/30/2016,25
TENDERLOIN,10/25/2016,24
BAYVIEW,12/29/2016,38
TARAVAL,04/19/2016,21
RICHMOND,03/11/2016,37
TARAVAL,04/27/2016,33
NORTHERN,03/03/2016,35
TENDERLOIN,12/11/2016,24
MISSION,08/27/2016,53
TARAVAL,09/04/2016,22
RICHMOND,11/28/2016,13
BAYVIEW,09/30/2016,38
CENTRAL,07/26/2016,48
PARK,12/29/2016,23
NORTHERN,12/30/2016,64
MISSION,04/06/2016,48
MISSION,08/12/2016,41
SOUTHERN,07/08/2016,86
MISSION,06/03/2016,42
SOUTHERN,05/16/2016,75
BAYVIEW,11/05/2016,43
RICHMOND,09/29/2016,11
NORTHERN,11/05/2016,47
TENDERLOIN,07/13/2016,28
RICHMOND,11/26/2016,21
RICHMOND,02/10/2016,28
PARK,09/05/2016,19
MISSION,04/16/2016,44
MISSION,10/04/2016,75
INGLESIDE,09/14/2016,29
MISSION,04/30/2016,46
TARAVAL,04/25/2016,28
BAYVIEW,12/30/2016,30
RICHMOND,01/15/2016,23
CENTRAL,02/24/2016,37
SOUTHERN,09/16/2016,84
NORTHERN,09/30/2016,73
PARK,05/31/2016,29
BAYVIEW,03/03/2016,47
CENTRAL,08/30/2016,39
MISSION,03/09/2016,51
PARK,12/30/2016,36
RICHMOND,03/12/2016,13
NORTHERN,12/29/2016,67
TENDERLOIN,04/24/2016,26
TENDERLOIN,06/11/2016,21
MISSION,02/29/2016,46
INGLESIDE,02/21/2016,24
TARAVAL,01/29/2016,40
BAYVIEW,05/31/2016,48
RICHMOND,07/28/2016,29
PARK,03/03/2016,13
TENDERLOIN,11/25/2016,36
BAYVIEW,09/05/2016,43
TARAVAL,08/10/2016,23
RICHMOND,11/21/2016,22
TENDERLOIN,05/07/2016,44
SOUTHERN,04/06/2016,80
SOUTHERN,08/12/2016,85
MISSION,07/08/2016,45
SOUTHERN,06/03/2016,85
TARAVAL,03/25/2016,23
SOUTHERN,08/27/2016,90
NORTHERN,07/31/2016,63
TARAVAL,04/29/2016,27
NORTHERN,02/23/2016,35
NORTHERN,03/01/2016,39
NORTHERN,08/09/2016,53
TENDERLOIN,01/10/2016,17
NORTHERN,02/17/2016,54
NORTHERN,07/11/2016,39
RICHMOND,11/19/2016,19
TARAVAL,06/02/2016,33
INGLESIDE,08/06/2016,32
TARAVAL,05/20/2016,34
MISSION,05/16/2016,51
SOUTHERN,05/18/2016,71
MISSION,06/30/2016,47
CENTRAL,12/24/2016,53
RICHMOND,07/12/2016,15
TARAVAL,04/28/2016,26
TARAVAL,11/02/2016,41
TENDERLOIN,05/10/2016,27
CENTRAL,03/28/2016,34
TENDERLOIN,06/21/2016,38
PARK,03/06/2016,26
TARAVAL,10/21/2016,26
PARK,02/12/2016,31
PARK,08/22/2016,15
TARAVAL,03/10/2016,32
CENTRAL,02/18/2016,35
SOUTHERN,01/27/2016,71
MISSION,10/02/2016,59
NORTHERN,09/01/2016,54
BAYVIEW,12/31/2016,36
INGLESIDE,11/28/2016,41
BAYVIEW,06/18/2016,30
CENTRAL,06/15/2016,53
TENDERLOIN,01/17/2016,19
TENDERLOIN,11/12/2016,27
NORTHERN,12/14/2016,56
TENDERLOIN,03/20/2016,24
NORTHERN,06/04/2016,56
CENTRAL,06/13/2016,41
TENDERLOIN,08/07/2016,21
TENDERLOIN,09/24/2016,20
MISSION,05/06/2016,61
PARK,12/31/2016,20
SOUTHERN,02/05/2016,110
PARK,06/18/2016,36
SOUTHERN,08/18/2016,90
TENDERLOIN,08/25/2016,15
TARAVAL,06/20/2016,26
INGLESIDE,03/11/2016,26
BAYVIEW,02/12/2016,41
BAYVIEW,03/06/2016,35
BAYVIEW,08/22/2016,49
INGLESIDE,09/22/2016,37
CENTRAL,11/11/2016,62
INGLESIDE,05/04/2016,35
MISSION,04/18/2016,45
SOUTHERN,06/10/2016,70
BAYVIEW,09/10/2016,42
TENDERLOIN,10/20/2016,14
BAYVIEW,04/26/2016,30
NORTHERN,06/23/2016,48
PARK,03/26/2016,29
NORTHERN,10/13/2016,69
RICHMOND,09/17/2016,23
INGLESIDE,01/08/2016,41
RICHMOND,04/07/2016,26
TENDERLOIN,10/12/2016,24
INGLESIDE,01/07/2016,30
BAYVIEW,04/21/2016,46
CENTRAL,05/15/2016,64
RICHMOND,08/03/2016,22
SOUTHERN,05/24/2016,83
NORTHERN,06/14/2016,58
TARAVAL,10/06/2016,28
PARK,04/21/2016,30
TARAVAL,05/11/2016,32
TARAVAL,07/07/2016,37
PARK,04/26/2016,14
BAYVIEW,03/26/2016,34
NORTHERN,03/14/2016,56
PARK,09/10/2016,30
TARAVAL,07/10/2016,25
NORTHERN,11/24/2016,43
INGLESIDE,06/09/2016,13
INGLESIDE,06/12/2016,15
PARK,10/06/2016,42
TARAVAL,04/21/2016,26
RICHMOND,12/17/2016,18
NORTHERN,11/27/2016,55
TENDERLOIN,03/22/2016,34
RICHMOND,10/24/2016,26
MISSION,01/14/2016,53
TARAVAL,04/26/2016,31
PARK,07/10/2016,23
TARAVAL,09/10/2016,30
PARK,07/07/2016,21
PARK,05/11/2016,19
RICHMOND,06/17/2016,18
NORTHERN,04/20/2016,49
SOUTHERN,10/19/2016,76
TENDERLOIN,05/14/2016,31
BAYVIEW,07/10/2016,37
INGLESIDE,03/31/2016,38
TENDERLOIN,01/06/2016,18
TARAVAL,03/26/2016,21
MISSION,11/23/2016,68
TENDERLOIN,10/29/2016,16
TENDERLOIN,01/01/2016,47
BAYVIEW,07/07/2016,31
BAYVIEW,05/11/2016,36
BAYVIEW,10/06/2016,33
NORTHERN,06/22/2016,52
INGLESIDE,09/12/2016,25
INGLESIDE,03/24/2016,20
INGLESIDE,08/31/2016,29
NORTHERN,12/20/2016,49
NORTHERN,03/17/2016,45
TENDERLOIN,06/19/2016,26
PARK,06/20/2016,27
SOUTHERN,02/14/2016,98
NORTHERN,06/05/2016,48
TARAVAL,06/18/2016,33
CENTRAL,01/20/2016,60
TARAVAL,12/31/2016,30
TENDERLOIN,11/01/2016,24
MISSION,03/08/2016,43
MISSION,10/26/2016,53
SOUTHERN,06/28/2016,80
BAYVIEW,03/10/2016,45
RICHMOND,11/17/2016,28
INGLESIDE,08/26/2016,39
BAYVIEW,10/21/2016,35
RICHMOND,08/21/2016,27
TENDERLOIN,01/11/2016,30
PARK,03/10/2016,18
TARAVAL,08/22/2016,39
CENTRAL,08/16/2016,40
PARK,10/21/2016,24
TARAVAL,03/06/2016,31
TARAVAL,02/12/2016,27
SOUTHERN,12/07/2016,60
SOUTHERN,09/08/2016,83
BAYVIEW,06/20/2016,29
NORTHERN,07/19/2016,51
BAYVIEW,05/20/2016,46
BAYVIEW,06/02/2016,46
INGLESIDE,07/01/2016,40
SOUTHERN,01/25/2016,76
RICHMOND,01/05/2016,10
SOUTHERN,08/02/2016,72
TENDERLOIN,11/15/2016,23
NORTHERN,09/19/2016,59
BAYVIEW,04/29/2016,46
PARK,11/02/2016,21
RICHMOND,09/13/2016,25
BAYVIEW,03/25/2016,33
SOUTHERN,01/18/2016,72
PARK,04/28/2016,38
CENTRAL,04/02/2016,56
MISSION,12/04/2016,67
RICHMOND,05/09/2016,16
PARK,04/29/2016,29
BAYVIEW,11/02/2016,42
BAYVIEW,04/28/2016,39
PARK,03/25/2016,42
MISSION,09/06/2016,58
TENDERLOIN,08/29/2016,32
PARK,05/20/2016,14
TENDERLOIN,04/08/2016,41
PARK,06/02/2016,14
MISSION,06/06/2016,39
CENTRAL,07/30/2016,65
INGLESIDE,04/10/2016,34
RICHMOND,08/19/2016,17
MISSION,12/13/2016,61
MISSION,09/23/2016,72
TARAVAL,03/03/2016,25
PARK,01/29/2016,19
NORTHERN,09/04/2016,36
RICHMOND,06/25/2016,24
TARAVAL,12/30/2016,27
BAYVIEW,04/25/2016,37
RICHMOND,02/16/2016,20
INGLESIDE,06/27/2016,26
PARK,08/10/2016,32
SOUTHERN,12/28/2016,73
CENTRAL,09/15/2016,58
INGLESIDE,10/10/2016,21
CENTRAL,12/06/2016,43
BAYVIEW,08/10/2016,51
TARAVAL,09/05/2016,33
RICHMOND,02/06/2016,14
SOUTHERN,02/02/2016,94
TENDERLOIN,03/30/2016,28
TARAVAL,05/31/2016,31
SOUTHERN,03/02/2016,70
TENDERLOIN,04/14/2016,23
BAYVIEW,01/29/2016,43
NORTHERN,04/19/2016,45
PARK,04/25/2016,27
MISSION,09/25/2016,70
NORTHERN,04/27/2016,37
RICHMOND,01/09/2016,24
BAYVIEW,04/27/2016,26
SOUTHERN,09/06/2016,75
CENTRAL,09/09/2016,47
BAYVIEW,04/19/2016,33
TARAVAL,12/29/2016,36
PARK,09/04/2016,27
CENTRAL,04/03/2016,44
NORTHERN,01/29/2016,70
SOUTHERN,12/13/2016,60
SOUTHERN,06/06/2016,73
NORTHERN,08/10/2016,52
TARAVAL,11/05/2016,28
MISSION,01/25/2016,50
INGLESIDE,11/17/2016,27
INGLESIDE,08/21/2016,38
RICHMOND,08/26/2016,28
TENDERLOIN,08/14/2016,13
PARK,04/27/2016,28
SOUTHERN,12/04/2016,89
NORTHERN,04/25/2016,42
CENTRAL,08/20/2016,51
MISSION,01/18/2016,39
PARK,04/19/2016,27
TARAVAL,09/30/2016,27
BAYVIEW,09/04/2016,34
MISSION,08/02/2016,62
TENDERLOIN,08/28/2016,23
MISSION,02/02/2016,32
TENDERLOIN,09/28/2016,26
RICHMOND,09/12/2016,40
RICHMOND,03/24/2016,32
RICHMOND,08/31/2016,18
CENTRAL,09/20/2016,45
CENTRAL,10/16/2016,53
NORTHERN,04/28/2016,55
CENTRAL,11/20/2016,45
SOUTHERN,09/25/2016,94
RICHMOND,03/31/2016,21
NORTHERN,11/02/2016,55
PARK,09/19/2016,24
MISSION,03/02/2016,51
INGLESIDE,10/24/2016,18
NORTHERN,03/25/2016,63
TENDERLOIN,10/17/2016,35
TENDERLOIN,11/09/2016,28
NORTHERN,04/29/2016,49
TARAVAL,07/31/2016,31
CENTRAL,05/13/2016,41
INGLESIDE,06/17/2016,37
TARAVAL,02/23/2016,27
TENDERLOIN,06/16/2016,28
SOUTHERN,09/23/2016,65
CENTRAL,12/09/2016,66
BAYVIEW,09/19/2016,31
TARAVAL,03/01/2016,39
TARAVAL,08/09/2016,25
TARAVAL,02/17/2016,23
INGLESIDE,12/17/2016,33
TARAVAL,07/11/2016,26
NORTHERN,06/02/2016,61
MISSION,12/28/2016,64
NORTHERN,05/20/2016,58
CENTRAL,01/31/2016,62
TENDERLOIN,05/28/2016,26
SOUTHERN,11/23/2016,86
BAYVIEW,07/19/2016,37
TENDERLOIN,08/05/2016,23
PARK,06/05/2016,19
NORTHERN,06/20/2016,61
INGLESIDE,01/09/2016,19
PARK,03/17/2016,15
MISSION,10/19/2016,54
